2000040000,184552705,1,18
2000040000,184564993,1,38
2000050000,184572673,1,15
2000060000,184552961,1,63
2000060000,184560897,1,21
2000060000,184573953,1,42
2000070000,184552961,1,177
2000070000,184555009,1,14
2000070000,184560897,1,137
2000070000,184559105,1,44
2000070000,184564993,1,54
2000070000,184572673,1,26
2000080000,184563969,1,36
2000080000,184562177,1,6
2000080000,184573953,1,22
2000090000,184550657,2,17
2000090000,184555009,1,27
2000090000,184557313,1,13
2000090000,184564993,1,4
2000090000,184572673,1,38
2000090000,184573953,1,55
2000090000,184580609,1,4
2000100000,184550657,1,12
2000100000,184555009,1,106
2000100000,184557313,1,89
2000100000,184564993,1,36
2000100000,184562177,1,6
2000100000,184572673,1,15
2000100000,184574977,1,99
2000110000,184562689,1,3
2000120000,184554753,1,3
2000120000,184572673,1,6
2000120000,184580609,1,10
2000120000,184578817,1,25
2000130000,184572673,1,19
2000130000,184574977,1,60
2000130000,184580609,1,2
2000140000,184558593,1,17
2000140000,184576257,1,18
2000140000,184580609,1,35
2000140000,184579073,1,2
2000150000,184560385,1,4
2000150000,184568833,1,46
2000150000,184579073,1,42
2000150000,184581633,1,55
2000160000,184560385,1,108
2000160000,184574209,1,21
2000160000,184581121,1,79
2000170000,184554497,1,61
2000170000,184559105,1,9
2000170000,184576257,1,96
2000170000,184575745,1,57
2000180000,184556801,1,28
2000180000,184559361,1,49
2000180000,184560897,1,15
2000180000,184558081,1,26
2000180000,184574209,1,52
2000180000,184581121,1,9
2000190000,184551425,1,37
2000190000,184558081,1,97
2000190000,184559873,1,28
2000190000,184564993,1,1
2000200000,184551425,1,69
2000200000,184551681,1,34
2000200000,184554497,1,2
2000200000,184559361,1,14
2000200000,184559617,1,16
2000200000,184577025,1,13
2000210000,184559361,1,72
2000210000,184561409,2,67
2000210000,184559873,1,12
2000210000,184562433,1,92
2000210000,184567041,1,18
2000210000,184577025,1,71
2000210000,184574721,1,40
2000210000,184575745,1,38
2000210000,184579841,1,48
2000210000,184580609,1,1
2000220000,184559361,1,94
2000220000,184559873,1,123
2000220000,184561409,2,157
2000220000,184558081,1,8
2000220000,184567041,1,119
2000220000,184572161,1,16
2000220000,184574721,1,93
